username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Duration,Rating,Members,Favorites,Completed,On-Hold,Dropped
karthiga,21,9,2255153,Female,One Piece,TV,Manga,8.54,423868,91,35,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24 min. per ep.,R - 17+ (violence & profanity),1251960,61971,718161,71513,26678
RedvelvetDaisuki,918,0,1897606,Female,Gintama,TV,Manga,9.01,141830,15,95,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1 hr. 55 min.,R - 17+ (violence & profanity),273145,1174,208333,1935,770
RedvelvetDaisuki,9479,3,1897606,Female,Coppelion,TV,Manga,6.54,37299,5443,949,"Action, Sci-Fi, Seinen",24 min. per ep.,PG-13 - Teens 13 or older,558913,12944,718161,71513,13925
RedvelvetDaisuki,22135,8,1897606,Female,Ping Pong The Animation,TV,Manga,8.65,72887,58,563,"Sports, Psychological, Drama, Seinen",25 min. per ep.,PG-13 - Teens 13 or older,94683,587,718161,71513,5378
Damonashu,1829,6,37326,Male,Gedo Senki,Movie,Novel,7.13,44087,3072,1125,"Adventure, Fantasy, Magic",23 min. per ep.,PG - Children,13224,18,718161,766,1108
Damonashu,1921,5,37326,Male,Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,Manga,7.87,3574,769,4080,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,148259,2066,718161,14228,11573
bskai,225,6,228342,Male,Dragon Ball GT,TV,Manga,6.67,205925,4883,204,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,214499,4101,718161,11901,11026
bskai,1751,6,228342,Male,Jikuu Bouken Nuumamonjaa,OVA,Unknown,5.33,3347,8633,4650,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,148259,231,718161,766,1168
Slimak,3407,0,61677,Male,Blassreiter,TV,Original,7.03,21867,3443,1271,"Action, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,148259,979,718161,11901,1356
Slimak,6547,0,61677,Male,Angel Beats!,TV,Original,8.31,641851,227,7,"Action, Comedy, Drama, School, Supernatural",24 min. per ep.,R+ - Mild Nudity,614100,29436,718161,47488,23008
MistButterfly,258,5,2485327,Female,Hitsuji no Uta,OVA,Manga,6.37,4946,6121,3401,"Horror, Drama, Vampire",23 min. per ep.,PG-13 - Teens 13 or older,1830540,65586,718161,61734,99806
MistButterfly,6747,5,2485327,Female,Dance in the Vampire Bund,TV,Manga,7.17,74236,2917,540,"Action, Supernatural, Vampire",24 min.,PG-13 - Teens 13 or older,1352724,126645,718161,187919,136245
MistButterfly,20815,7,2485327,Female,Sekaiichi Hatsukoi: Valentine-hen,Movie,Unknown,8.1,9097,439,2681,"Romance, Comedy, Shounen Ai",22 min. per ep.,PG-13 - Teens 13 or older,141832,3124,718161,12905,12516
MistButterfly,1498,6,2485327,Female,Black Blood Brothers,TV,Light novel,7.24,43284,2638,1059,"Action, Comedy, Fantasy, Shounen, Supernatural, Vampire",25 min. per ep.,PG - Children,148259,16,718161,145,296
MistButterfly,5680,7,2485327,Female,K-On!,TV,4-koma manga,7.86,281978,783,80,"Slice of Life, Comedy, Music, School",23 min. per ep.,PG-13 - Teens 13 or older,275464,5137,718161,71513,13491
MistButterfly,88,4,2485327,Female,Mobile Suit Gundam F91,Movie,Unknown,6.81,9137,4283,2924,"Military, Sci-Fi, Space, Drama, Mecha",24 min. per ep.,R - 17+ (violence & profanity),111734,790,718161,11901,7951
MistButterfly,1539,5,2485327,Female,Touch: Cross Road - Kaze no Yukue,Special,Unknown,7.12,915,3143,7054,"Romance, Shounen, Sports",23 min. per ep.,R+ - Mild Nudity,182599,3671,718161,9815,8112
MistButterfly,3964,4,2485327,Female,Turn A Gundam II Movie: Moonlight Butterfly,Movie,Unknown,6.79,809,4378,6056,"Action, Drama, Mecha, Military, Sci-Fi, Space",24 min. per ep.,R - 17+ (violence & profanity),158343,1479,718161,11901,9349
